City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,Vaini,TO,2022-07-17 23:14:58,-21.2,-175.2,77.16,88,75,9.22
56,San Patricio,US,2022-07-17 23:14:59,28.017,-97.5169,95.18,46,81,15.43
57,Port Hedland,AU,2022-07-17 23:14:59,-20.3167,118.5667,53.65,62,2,4.61
58,Domodossola,IT,2022-07-17 23:15:00,46.1165,8.2931,76.24,80,21,3.24
59,Victoria,HK,2022-07-17 23:12:40,22.2855,114.1577,86.97,83,100,10.0
60,Muisne,EC,2022-07-17 23:15:01,0.6,-80.0333,74.86,86,100,9.28
61,Chapais,CA,2022-07-17 23:15:01,49.7834,-74.8492,75.9,46,72,2.57
62,Mar Del Plata,AR,2022-07-17 23:12:42,-38.0023,-57.5575,54.09,50,0,16.11
63,Setubal,PT,2022-07-17 23:15:02,38.5244,-8.8882,70.5,87,2,3.18
64,Komsomolskiy,UZ,2022-07-17 23:15:02,40.4272,71.7189,77.72,38,0,2.3
65,Gazojak,TM,2022-07-17 23:15:03,41.1875,61.4036,87.84,16,0,11.72
66,Saint-Pierre,RE,2022-07-17 23:15:03,-21.3393,55.4781,69.48,67,20,16.11
67,Nicoya,CR,2022-07-17 23:15:04,10.1483,-85.452,79.5,86,95,3.51
68,Kodiak,US,2022-07-17 23:15:04,57.79,-152.4072,56.77,70,87,4.92
69,Padang,ID,2022-07-17 23:15:05,-0.9492,100.3543,69.85,75,16,4.03
70,Naqadeh,IR,2022-07-17 23:15:06,36.9553,45.388,74.43,41,0,4.0
71,Alakurtti,RU,2022-07-17 23:15:06,66.9672,30.3491,50.32,95,31,3.13
72,Barrow,US,2022-07-17 23:15:07,71.2906,-156.7887,42.82,81,100,12.66
73,Bluff,NZ,2022-07-17 23:15:07,-46.6,168.3333,54.81,64,100,23.0
74,Kalmunai,LK,2022-07-17 23:15:08,7.4167,81.8167,79.81,80,100,4.29
75,Pasighat,IN,2022-07-17 23:15:08,28.0667,95.3333,76.73,97,55,1.63
76,Cherskiy,RU,2022-07-17 23:15:09,68.75,161.3,42.22,53,98,16.28
77,Puerto Ayora,EC,2022-07-17 23:15:10,-0.7393,-90.3518,69.55,90,66,5.99
78,Vila Franca Do Campo,PT,2022-07-17 23:15:10,37.7167,-25.4333,75.2,83,46,5.68
79,Iqaluit,CA,2022-07-17 23:15:11,63.7506,-68.5145,42.53,93,75,8.99
80,Saint George,US,2022-07-17 23:13:44,37.1041,-113.5841,108.63,16,0,16.11
81,Jaranwala,PK,2022-07-17 23:15:11,31.3333,73.4333,84.0,67,21,3.67
82,Port Alfred,ZA,2022-07-17 23:15:12,-33.5906,26.891,68.49,36,0,12.26
83,Plettenberg Bay,ZA,2022-07-17 23:15:12,-34.0527,23.3716,60.75,79,1,2.84
84,Sabha,LY,2022-07-17 23:15:13,27.0377,14.4283,80.04,17,0,10.16
